run_id,max_active_dag1,max_active_dag2,threads,deadline_scale,dag1_executed,dag1_deferred,dag1_miss_rate,dag1_avg_exec_ns,dag1_max_exec_ns,dag1_avg_lateness_ns,dag1_max_lateness_ns,dag2_executed,dag2_deferred,dag2_miss_rate,dag2_avg_exec_ns,dag2_max_exec_ns,dag2_avg_lateness_ns,dag2_max_lateness_ns,combined_miss_rate,log_path
31,3,5,8,1.1,53630,16120,0.951035,7344,1875208,94401779,293632334,11056,0,0.000181,7598,1663167,23239875,43979041,0.475608,/Users/mehedihasan/rp_ws/phase15/logs/r031_a1_3_a2_5_t8_d1p1.log
55,5,3,8,1.1,17183,31,0.338358,6483,121375,25864703,68766042,50609,14335,0.613112,6968,178750,53392900,222583625,0.475735,/Users/mehedihasan/rp_ws/phase15/logs/r055_a1_5_a2_3_t8_d1p1.log
43,4,4,8,1.1,63407,9102,0.952829,6609,577584,59131159,255900417,10857,0,0.000092,6581,210625,9293626,9293626,0.476461,/Users/mehedihasan/rp_ws/phase15/logs/r043_a1_4_a2_4_t8_d1p1.log
47,4,5,8,1.1,59599,15473,0.967315,6634,277084,72264396,244478500,9736,0,0.000103,6276,73042,4745041,4745041,0.483709,/Users/mehedihasan/rp_ws/phase15/logs/r047_a1_4_a2_5_t8_d1p1.log
11,2,4,8,1.1,47533,30381,0.978646,7460,150042,119695000,270838709,7137,249,0.000420,7382,139250,3875166,4165167,0.489533,/Users/mehedihasan/rp_ws/phase15/logs/r011_a1_2_a2_4_t8_d1p1.log
30,3,5,6,0.9,60920,13446,0.981123,6693,209583,91262318,240251459,9157,0,0.000218,6249,93667,11787000,19991250,0.490671,/Users/mehedihasan/rp_ws/phase15/logs/r030_a1_3_a2_5_t6_d0p9.log
26,3,4,6,0.9,60257,12127,0.981728,7069,187709,91392945,282589583,9097,0,0.000220,6863,320000,9778312,15031875,0.490974,/Users/mehedihasan/rp_ws/phase15/logs/r026_a1_3_a2_4_t6_d0p9.log
22,3,3,6,0.9,62739,10409,0.982085,6791,246542,83956089,272212583,7920,0,0.000253,6509,141875,10608334,19933167,0.491169,/Users/mehedihasan/rp_ws/phase15/logs/r022_a1_3_a2_3_t6_d0p9.log
10,2,4,6,0.9,50686,28779,0.982204,7463,1386750,127881617,280588334,7163,0,0.000279,6823,534875,9549375,18271584,0.491241,/Users/mehedihasan/rp_ws/phase15/logs/r010_a1_2_a2_4_t6_d0p9.log
15,2,5,8,1.1,42686,32276,0.972544,7439,996709,141356247,322982250,11103,1555,0.010177,6698,242584,5257861,33520084,0.491360,/Users/mehedihasan/rp_ws/phase15/logs/r015_a1_2_a2_5_t8_d1p1.log
14,2,5,6,0.9,53476,20067,0.984442,7836,2423959,114274315,290546334,6647,0,0.000451,7759,774958,16919639,22189500,0.492447,/Users/mehedihasan/rp_ws/phase15/logs/r014_a1_2_a2_5_t6_d0p9.log
13,2,5,4,0.8,61821,10994,0.988273,7169,127959,96872140,241496125,7784,0,0.000257,6551,206750,17898959,19851126,0.494265,/Users/mehedihasan/rp_ws/phase15/logs/r013_a1_2_a2_5_t4_d0p8.log
16,2,5,10,1.2,47394,29369,0.969173,7439,488375,105994947,313800334,10364,1364,0.028367,6965,215709,35354781,65723709,0.498770,/Users/mehedihasan/rp_ws/phase15/logs/r016_a1_2_a2_5_t10_d1p2.log
64,5,5,10,1.2,50789,9933,0.857804,6232,217500,64743542,209192750,22156,1059,0.148267,5826,119792,20969530,91089751,0.503035,/Users/mehedihasan/rp_ws/phase15/logs/r064_a1_5_a2_5_t10_d1p2.log
59,5,4,8,1.1,38200,22,0.513717,5521,227833,32075140,212697542,39921,1136,0.502167,5532,105334,26166239,202356833,0.507942,/Users/mehedihasan/rp_ws/phase15/logs/r059_a1_5_a2_4_t8_d1p1.log
5,2,3,4,0.8,61876,10853,0.987313,6943,1153375,95122302,249389500,8648,0,0.036887,6276,184666,16971864,25918875,0.512100,/Users/mehedihasan/rp_ws/phase15/logs/r005_a1_2_a2_3_t4_d0p8.log
12,2,4,10,1.2,44837,31424,0.966523,7243,834416,112635731,236506459,12078,2306,0.066733,6900,1024375,62732789,155668959,0.516628,/Users/mehedihasan/rp_ws/phase15/logs/r012_a1_2_a2_4_t10_d1p2.log
36,4,2,10,1.2,22287,9379,0.408220,6162,122500,77858882,237359083,38418,24447,0.628768,6690,121416,93325273,235414417,0.518494,/Users/mehedihasan/rp_ws/phase15/logs/r036_a1_4_a2_2_t10_d1p2.log
8,2,3,10,1.2,43095,28677,0.915791,7121,1631625,121288847,290992709,13564,4866,0.142362,6490,137500,54381194,153027375,0.529076,/Users/mehedihasan/rp_ws/phase15/logs/r008_a1_2_a2_3_t10_d1p2.log
63,5,5,8,1.1,48376,79,0.691314,5504,385667,27336919,109090167,30607,0,0.383115,5151,410167,15671363,55657333,0.537214,/Users/mehedihasan/rp_ws/phase15/logs/r063_a1_5_a2_5_t8_d1p1.log
52,5,2,10,1.2,17740,4384,0.189008,6493,113167,84761122,215568500,38042,30431,0.901425,7040,125917,92707767,322716042,0.545216,/Users/mehedihasan/rp_ws/phase15/logs/r052_a1_5_a2_2_t10_d1p2.log
7,2,3,8,1.1,44382,31290,0.972827,7485,282958,127513529,271141626,9452,2407,0.157004,7340,161708,30661574,121281083,0.564916,/Users/mehedihasan/rp_ws/phase15/logs/r007_a1_2_a2_3_t8_d1p1.log
27,3,4,8,1.1,43618,24587,0.901325,6449,148750,113654392,316538750,16608,5920,0.231696,5757,102584,42281418,160745375,0.566511,/Users/mehedihasan/rp_ws/phase15/logs/r027_a1_3_a2_4_t8_d1p1.log
60,5,4,10,1.2,31775,8682,0.495893,5523,162208,48538418,205263875,33326,13974,0.644872,5684,5101750,64331434,209487875,0.570383,/Users/mehedihasan/rp_ws/phase15/logs/r060_a1_5_a2_4_t10_d1p2.log
51,5,2,8,1.1,25627,7457,0.230772,5595,233416,51013057,183861584,32111,25422,0.936626,6367,127333,129848538,367159417,0.583699,/Users/mehedihasan/rp_ws/phase15/logs/r051_a1_5_a2_2_t8_d1p1.log
48,4,5,10,1.2,38215,12700,0.762057,5819,1796917,66252122,238348208,27666,10357,0.414480,5311,1523750,28512431,98721875,0.588268,/Users/mehedihasan/rp_ws/phase15/logs/r048_a1_4_a2_5_t10_d1p2.log
32,3,5,10,1.2,39234,23830,0.942193,6801,1336834,108872742,292261125,18965,7234,0.245979,5979,798708,43251613,191090583,0.594086,/Users/mehedihasan/rp_ws/phase15/logs/r032_a1_3_a2_5_t10_d1p2.log
50,5,2,6,0.9,16508,0,0.269990,6045,335125,27920182,63578333,45262,21067,0.959105,6957,131208,86373001,235408959,0.614548,/Users/mehedihasan/rp_ws/phase15/logs/r050_a1_5_a2_2_t6_d0p9.log
44,4,4,10,1.2,34364,17606,0.747323,5534,400167,77228954,245116876,29275,14223,0.490453,5307,71958,52703216,170891000,0.618888,/Users/mehedihasan/rp_ws/phase15/logs/r044_a1_4_a2_4_t10_d1p2.log
38,4,3,6,0.9,20970,39,0.541917,5925,316625,46595600,94377750,53949,7745,0.786854,6452,164542,40343654,197679084,0.664386,/Users/mehedihasan/rp_ws/phase15/logs/r038_a1_4_a2_3_t6_d0p9.log
56,5,3,10,1.2,26035,10355,0.474746,5780,161750,66456925,264701042,30517,25630,0.875872,6043,137250,101128140,324393417,0.675309,/Users/mehedihasan/rp_ws/phase15/logs/r056_a1_5_a2_3_t10_d1p2.log
35,4,2,8,1.1,24013,10167,0.446800,5718,155334,61561483,197887750,33546,26494,0.908752,6227,168667,104621750,287600375,0.677776,/Users/mehedihasan/rp_ws/phase15/logs/r035_a1_4_a2_2_t8_d1p1.log
6,2,3,6,0.9,37633,28854,0.978503,7058,366542,162553652,338308708,16094,7917,0.395240,5966,218917,60518496,212645583,0.686871,/Users/mehedihasan/rp_ws/phase15/logs/r006_a1_2_a2_3_t6_d0p9.log
1,2,2,4,0.8,45573,0,0.701797,4850,878959,19053997,74338167,46256,0,0.672497,4691,1093083,18908171,74380625,0.687147,/Users/mehedihasan/rp_ws/phase15/logs/r001_a1_2_a2_2_t4_d0p8.log
39,4,3,8,1.1,33483,12907,0.683959,5363,124125,77204702,230192334,29451,14169,0.771043,5237,90833,63644641,203382667,0.727501,/Users/mehedihasan/rp_ws/phase15/logs/r039_a1_4_a2_3_t8_d1p1.log
28,3,4,10,1.2,33814,23706,0.904891,6308,429292,101941082,276884000,21651,13345,0.581913,5661,1241500,65645572,176873000,0.743402,/Users/mehedihasan/rp_ws/phase15/logs/r028_a1_3_a2_4_t10_d1p2.log
34,4,2,6,0.9,32010,186,0.686910,5934,348125,48300217,111870000,40489,9169,0.854553,6885,98125,64982687,194002625,0.770732,/Users/mehedihasan/rp_ws/phase15/logs/r034_a1_4_a2_2_t6_d0p9.log
40,4,3,10,1.2,25569,14938,0.643905,5786,1046875,88808757,268812792,29029,26599,0.899618,5991,916291,86489185,251546750,0.771761,/Users/mehedihasan/rp_ws/phase15/logs/r040_a1_4_a2_3_t10_d1p2.log
18,3,2,6,0.9,30265,10575,0.642524,5400,1356542,51762893,210645000,29350,19156,0.936763,5511,464125,136645816,345735667,0.789643,/Users/mehedihasan/rp_ws/phase15/logs/r018_a1_3_a2_2_t6_d0p9.log
42,4,4,6,0.9,42017,12,0.862936,5063,318334,29714038,79701584,33608,0,0.719293,4858,516916,26214711,98759208,0.791114,/Users/mehedihasan/rp_ws/phase15/logs/r042_a1_4_a2_4_t6_d0p9.log
54,5,3,6,0.9,33415,0,0.695047,4905,87041,23490435,69196834,40019,1575,0.898623,5250,102292,36678297,150969375,0.796835,/Users/mehedihasan/rp_ws/phase15/logs/r054_a1_5_a2_3_t6_d0p9.log
19,3,2,8,1.1,25123,16753,0.695220,6270,2813833,86179758,254455083,28177,25510,0.917131,6346,1638583,113748662,323142459,0.806175,/Users/mehedihasan/rp_ws/phase15/logs/r019_a1_3_a2_2_t8_d1p1.log
58,5,4,6,0.9,38448,0,0.832215,5186,463958,23517987,86112584,37178,0,0.804562,5009,430458,23322772,87061458,0.818388,/Users/mehedihasan/rp_ws/phase15/logs/r058_a1_5_a2_4_t6_d0p9.log
17,3,2,4,0.8,27027,0,0.713065,5162,203583,30825380,91970000,46769,1548,0.940473,5752,318833,42019742,161779209,0.826769,/Users/mehedihasan/rp_ws/phase15/logs/r017_a1_3_a2_2_t4_d0p8.log
23,3,3,8,1.1,30674,19165,0.858186,5815,1376333,85317151,270119792,26656,14757,0.798619,5437,343625,70849304,232242208,0.828402,/Users/mehedihasan/rp_ws/phase15/logs/r023_a1_3_a2_3_t8_d1p1.log
9,2,4,4,0.8,44769,2278,0.975921,5735,650958,61293278,219049334,29107,0,0.681898,4723,159666,27201570,87133292,0.828909,/Users/mehedihasan/rp_ws/phase15/logs/r009_a1_2_a2_4_t4_d0p8.log
24,3,3,10,1.2,30905,26275,0.928685,6134,112709,102884020,246310667,21620,18686,0.734366,5894,110375,80576982,190208708,0.831525,/Users/mehedihasan/rp_ws/phase15/logs/r024_a1_3_a2_3_t10_d1p2.log
20,3,2,10,1.2,25502,17969,0.737550,6298,398083,88024916,248083125,24398,23500,0.938847,6393,451542,103721932,347630501,0.838199,/Users/mehedihasan/rp_ws/phase15/logs/r020_a1_3_a2_2_t10_d1p2.log
