run_id,max_active_dag1_cfg,max_active_dag2_cfg,max_dag1_active_observed,max_dag2_active_observed,dag1_enforced,dag2_enforced,all_enforced,log_path
1,2,2,2,2,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r001_a1_2_a2_2_t4_d0p8.log
2,2,2,2,2,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r002_a1_2_a2_2_t6_d0p9.log
3,2,2,2,2,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r003_a1_2_a2_2_t8_d1p1.log
4,2,2,2,2,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r004_a1_2_a2_2_t10_d1p2.log
5,2,3,2,3,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r005_a1_2_a2_3_t4_d0p8.log
6,2,3,2,3,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r006_a1_2_a2_3_t6_d0p9.log
7,2,3,2,3,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r007_a1_2_a2_3_t8_d1p1.log
8,2,3,2,3,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r008_a1_2_a2_3_t10_d1p2.log
9,2,4,2,4,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r009_a1_2_a2_4_t4_d0p8.log
10,2,4,2,4,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r010_a1_2_a2_4_t6_d0p9.log
11,2,4,2,4,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r011_a1_2_a2_4_t8_d1p1.log
12,2,4,2,4,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r012_a1_2_a2_4_t10_d1p2.log
13,2,5,2,4,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r013_a1_2_a2_5_t4_d0p8.log
14,2,5,2,4,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r014_a1_2_a2_5_t6_d0p9.log
15,2,5,2,5,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r015_a1_2_a2_5_t8_d1p1.log
16,2,5,2,5,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r016_a1_2_a2_5_t10_d1p2.log
17,3,2,3,2,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r017_a1_3_a2_2_t4_d0p8.log
18,3,2,3,2,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r018_a1_3_a2_2_t6_d0p9.log
19,3,2,3,2,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r019_a1_3_a2_2_t8_d1p1.log
20,3,2,3,2,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r020_a1_3_a2_2_t10_d1p2.log
21,3,3,3,3,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r021_a1_3_a2_3_t4_d0p8.log
22,3,3,3,3,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r022_a1_3_a2_3_t6_d0p9.log
23,3,3,3,3,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r023_a1_3_a2_3_t8_d1p1.log
24,3,3,3,3,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r024_a1_3_a2_3_t10_d1p2.log
25,3,4,3,4,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r025_a1_3_a2_4_t4_d0p8.log
26,3,4,3,3,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r026_a1_3_a2_4_t6_d0p9.log
27,3,4,3,4,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r027_a1_3_a2_4_t8_d1p1.log
28,3,4,3,4,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r028_a1_3_a2_4_t10_d1p2.log
29,3,5,3,4,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r029_a1_3_a2_5_t4_d0p8.log
30,3,5,3,3,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r030_a1_3_a2_5_t6_d0p9.log
31,3,5,3,5,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r031_a1_3_a2_5_t8_d1p1.log
32,3,5,3,5,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r032_a1_3_a2_5_t10_d1p2.log
33,4,2,4,2,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r033_a1_4_a2_2_t4_d0p8.log
34,4,2,4,2,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r034_a1_4_a2_2_t6_d0p9.log
35,4,2,4,2,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r035_a1_4_a2_2_t8_d1p1.log
36,4,2,4,2,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r036_a1_4_a2_2_t10_d1p2.log
37,4,3,4,3,1,1,1,/Users/mehedihasan/rp_ws/phase15/logs/r037_a1_4_a2_3_t4_d0p8.log
