max_active_dag1,max_active_dag2,avg_dag1_miss_rate,avg_dag2_miss_rate,avg_combined_miss_rate,avg_dag1_avg_lateness_ns,avg_dag2_avg_lateness_ns
2,5,0.978608,0.009813,0.494210,114624412.2,18857810.0
2,3,0.963608,0.182873,0.573241,126619582.5,40633282.0
2,4,0.975823,0.187333,0.581578,105376406.5,25839725.0
3,5,0.960709,0.282765,0.621737,82198850.5,26977124.2
5,2,0.365463,0.941929,0.653696,48673650.0,88043945.8
3,4,0.939715,0.429430,0.684572,85107546.5,37066404.8
4,4,0.884558,0.538378,0.711468,49208561.0,29115416.2
5,4,0.702073,0.721420,0.711746,33730427.2,35631123.8
5,3,0.601730,0.825226,0.713478,36067744.5,54986455.2
5,5,0.855042,0.576026,0.715534,38606421.5,23923562.2
4,5,0.907658,0.525832,0.716745,49853186.2,20878115.8
4,2,0.592668,0.841020,0.716844,54423044.8,75356467.8
3,3,0.931931,0.617228,0.774580,76975724.8,48070508.0
4,3,0.697736,0.853303,0.775519,60523228.8,54834720.8
3,2,0.697090,0.933303,0.815197,64198236.8,99034038.0
2,2,0.887337,0.781973,0.834655,100962556.8,72288607.0
